Direction	Motif_Name	Beta_Est	OddsRatio	Beta_SE	Beta_Z	Beta_Pval	Beta_Padj	Log10Beta	NLog10Padj
Count_Gain	AC0068:HIC:C2H2_ZF	0.15744278472758547	1.1705137848007052	0.07907884186187232	1.9909596678539137	0.04648532149226721	0.07923920655456933	0.06837653262267193	1.101059881829824
Count_Gain	AC0069:ZNF:C2H2_ZF	0.08732532451283966	1.0912516328835178	0.06033970609387901	1.4472282045420524	0.14783301960613007	0.21524761419503663	0.03792490656633703	0.6670616535684901
Count_Gain	AC0070:MYB/MYBL:Myb/SANT	0.7118712664998418	2.0378009617232147	0.05512470223788748	12.91383422676466	3.760969462982577e-38	8.448749257914432e-37	0.3091617628663605	36.07320757869417
Count_Gain	AC0071:MYB:Myb/SANT	0.2537432390499086	1.2888408377819625	0.06652231028381031	3.814408098085293	1.3650972478834045e-4	4.012365275320848e-4	0.110199288539633	3.396599536809384
Count_Gain	AC0072:MYBL:Myb/SANT	-0.2849266453964471	0.7520694200501798	0.06589613925552802	-4.323874639932636	1.5331243607992346e-5	5.327818911285738e-5	-0.12374206984288152	4.273450544942463
Count_Gain	AC0073:MYBL:Myb/SANT	0.03754242643413767	1.0382560456491454	0.07262426797044466	0.5169405142839585	0.6051976846578293	0.6908699521774495	0.01630446863760476	0.1606036955594184
Count_Gain	AC0074:MYBL:Myb/SANT	-0.25575135455250175	0.7743344796009821	0.06938914574023478	-3.685754476787084	2.2802610412436385e-4	6.374596421965549e-4	-0.1110714020214336	3.1955473053664027
Count_Gain	AC0075:OVOL:C2H2_ZF	-0.2978335148740614	0.742424932167671	0.06406337174362556	-4.649045262025199	3.3347503469973e-6	1.3192188479630829e-5	-0.12934745203565493	4.879683152460652
Count_Gain	AC0076:OVOL:C2H2_ZF	0.48595756331926193	1.6257310041198665	0.10480258514766062	4.636885269906048	3.536986047787939e-6	1.3733112494188973e-5	0.2110486881887055	4.8622310224238765
Count_Gain	AC0077:ZIC/GLIS:C2H2_ZF	-0.0054639205761865	0.994550979487904	0.04430611495566545	-0.12332204215273508	0.9018520869443918	0.9314695610640762	-0.00237295055579543	0.03083133258512966
Count_Gain	AC0078:CTCF/CTCFL:C2H2_ZF	0.08299448254300039	1.0865358136170695	0.04259747032116829	1.948342986502588	0.05137393683746296	0.08594203795416011	0.03604404579684082	1.0657943520513231
Count_Gain	AC0079:ZNF:C2H2_ZF	0.21318851790192084	1.23761794239101	0.24560365015712585	0.8680185240143324	0.3853841919483097	0.476382040790851	0.09258659692993684	0.3220446194236217
Count_Gain	AC0080:ZNF:C2H2_ZF	0.02534137371688761	1.025665195907971	0.04294040263187736	0.5901522147832662	0.5550886052805054	0.6394702064495199	0.01100561876909238	0.1941796849241695
Count_Gain	AC0081:NFIA/NFIC:SMAD	0.30508107837126053	1.356735000411024	0.06857712902527434	4.44872922951939	8.63798283099267e-6	3.0696560455900506e-5	0.13249502886973194	4.512910284415588
Count_Gain	AC0082:NFIX/NFIC:SMAD	0.2020579508750242	1.2239189332293912	0.04921340111258988	4.1057505944927115	4.030041211640085e-5	1.3066473825369142e-4	0.08775265308970134	3.883841597178496
Count_Gain	AC0083:ZBTB:C2H2_ZF	0.06240970433119387	1.064398344018196	0.06023601364751609	1.036086230679168	0.30016191537221354	0.3880940755697766	0.02710419020825097	0.4110629869095418
Count_Gain	AC0084:HIC:C2H2_ZF	-0.19072301952696785	0.8263614424388686	0.06287099261148595	-3.0335614502788126	0.00241685483739574	0.0053528228616969	-0.08282995495248827	2.2714171282699325
Count_Gain	AC0085:ZNF:C2H2_ZF	0.28641037430896005	1.3316388134968038	0.08665010684945984	3.305366660499917	9.485222436490506e-4	0.00230355402029055	0.1243864451222262	2.6376015987188732
Count_Gain	AC0086:ZNF:C2H2_ZF	0.09906084757597684	1.104133481360832	0.05134766050719931	1.9292183246028864	0.0537037642113572	0.08960124055422727	0.04302157947490586	1.0476859773677218
Count_Gain	AC0087:E2F:E2F	0.36014227266104903	1.4335333526573737	0.0734088134460682	4.90598139044486	9.296133916341124e-7	3.9508569144449785e-6	0.15640780171678992	5.403308698587913
